point_id,lon,lat,worldcover_raw_code,worldcover_suggested_label,verified_label,google_maps_check_link,dryseason_blue,dryseason_green,dryseason_red,dryseason_rededge,dryseason_nir,dryseason_swir1,dryseason_swir2,ndvi_s1_land_prep_mar_apr,ndvi_s2_early_growth_may_jun,ndvi_s3_peak_growth_jun_sep,ndvi_s4_maturity_sep_oct,ndvi_s5_postharvest_dec_jan,ndvi_amplitude
38,8.720635086388825,7.773501481802214,40,cropland,,"https://www.google.com/maps/@7.773501481802214,8.720635086388825,17z/data=!3m1!1e3",0.058400001376867294,0.09640000015497208,0.13899999856948853,0.1717499941587448,0.25165000557899475,0.38225001096725464,0.3059000074863434,0.20382164418697357,0.3562091290950775,0.5807023644447327,0.51171875,0.28836557269096375,0.3768807053565979
39,8.706890862541798,7.837281866974692,40,cropland,,"https://www.google.com/maps/@7.837281866974692,8.706890862541798,17z/data=!3m1!1e3",0.055399999022483826,0.09414999932050705,0.13230000436306,0.19425000250339508,0.3018999993801117,0.3874000012874603,0.29714998602867126,0.259497731924057,0.5637900829315186,0.5780611038208008,0.5800689458847046,0.3906033933162689,0.3205712139606476
40,8.567292667389609,7.758230121972176,50,built_up,,"https://www.google.com/maps/@7.758230121972176,8.567292667389609,17z/data=!3m1!1e3",0.06825000047683716,0.10840000212192535,0.1565999984741211,0.20305000245571136,0.26664999127388,0.3776499927043915,0.3022499978542328,0.2026578038930893,0.3536278307437897,0.44723182916641235,0.4969556927680969,0.26001179218292236,0.29429787397384644
41,8.595050609668903,7.906362312323495,50,built_up,,"https://www.google.com/maps/@7.906362312323495,8.595050609668903,17z/data=!3m1!1e3",0.06780000030994415,0.11320000141859055,0.16500000655651093,0.2004999965429306,0.29420000314712524,0.39399999380111694,0.3361999988555908,0.18954245746135712,0.3510815501213074,0.4739386737346649,0.3929961323738098,0.28135886788368225,0.284396231174469
42,8.618945796226484,7.769009905381608,50,built_up,,"https://www.google.com/maps/@7.769009905381608,8.618945796226484,17z/data=!3m1!1e3",0.11949999630451202,0.17000000178813934,0.18649999797344208,0.22059999406337738,0.2828499972820282,0.32804998755455017,0.2639999985694885,0.09436893463134766,0.20122219622135162,,0.27501431107521057,0.20528391003608704,0.18064537644386292
43,8.555794231752884,7.76811159009749,50,built_up,,"https://www.google.com/maps/@7.76811159009749,8.555794231752884,17z/data=!3m1!1e3",0.06360000371932983,0.1014999970793724,0.14499999582767487,0.17499999701976776,0.23669999837875366,0.27709999680519104,0.2464500069618225,0.1545567810535431,0.26172301173210144,0.26339346170425415,0.24610204994678497,0.24024103581905365,0.10883668065071106
44,8.569718118656738,7.786257558836709,50,built_up,,"https://www.google.com/maps/@7.786257558836709,8.569718118656738,17z/data=!3m1!1e3",0.05829999968409538,0.10140000283718109,0.13349999487400055,0.18729999661445618,0.31459999084472656,0.33079999685287476,0.25064998865127563,0.20049554109573364,0.2890738844871521,0.575864315032959,0.5712220668792725,0.4041508734226227,0.37536877393722534
45,8.565855362935025,7.786976211064001,50,built_up,,"https://www.google.com/maps/@7.786976211064001,8.565855362935025,17z/data=!3m1!1e3",0.07275000214576721,0.10899999737739563,0.15160000324249268,0.1555500030517578,0.20489999651908875,0.2747499942779541,0.243599995970726,0.13038907945156097,0.09528977423906326,0.1920546442270279,0.16219991445541382,0.14950910210609436,0.09676486998796463
46,8.564687553065653,7.767123443284959,50,built_up,,"https://www.google.com/maps/@7.767123443284959,8.564687553065653,17z/data=!3m1!1e3",0.17679999768733978,0.20059999823570251,0.23389999568462372,0.25760000944137573,0.29649999737739563,0.30195000767707825,0.2673499882221222,0.07621482759714127,0.04616070166230202,0.042777419090270996,0.08016709238290787,0.11802414059638977,0.07524672150611877
47,8.590199707134673,7.86800424969158,50,built_up,,"https://www.google.com/maps/@7.86800424969158,8.590199707134673,17z/data=!3m1!1e3",0.06889999657869339,0.11299999803304672,0.15219999849796295,0.1768999993801117,0.2727000117301941,0.3375000059604645,0.2632000148296356,0.23438279330730438,0.26808711886405945,0.3193434476852417,0.30785834789276123,0.2835961580276489,0.08496065437793732
48,8.555614568696058,7.762452203807541,50,built_up,,"https://www.google.com/maps/@7.762452203807541,8.555614568696058,17z/data=!3m1!1e3",0.05050000175833702,0.09264999628067017,0.12835000455379486,0.1855500042438507,0.2511500120162964,0.3032500147819519,0.2762500047683716,0.35396072268486023,0.44514036178588867,0.4068152904510498,0.3282374143600464,0.3235836625099182,0.12155669927597046
49,8.597026903293965,7.772782829574922,50,built_up,,"https://www.google.com/maps/@7.772782829574922,8.597026903293965,17z/data=!3m1!1e3",0.12070000171661377,0.1671999990940094,0.24089999496936798,0.2433999925851822,0.35499998927116394,0.4650000035762787,0.42100000381469727,0.09872781485319138,0.2864544987678528,0.3296870291233063,0.25583574175834656,0.19147507846355438,0.2309592068195343
50,8.55732136773588,7.755445344591408,50,built_up,,"https://www.google.com/maps/@7.755445344591408,8.55732136773588,17z/data=!3m1!1e3",0.07604999840259552,0.13089999556541443,0.20675000548362732,0.23690000176429749,0.29660001397132874,0.3961000144481659,0.3684000074863434,0.15125423669815063,0.17737983167171478,0.20940396189689636,0.19420164823532104,0.17850403487682343,0.05814972519874573
51,8.559567155946183,7.769369231495261,50,built_up,,"https://www.google.com/maps/@7.769369231495261,8.559567155946183,17z/data=!3m1!1e3",0.042100001126527786,0.06920000165700912,0.0872500017285347,0.11959999799728394,0.13124999403953552,0.18895000219345093,0.17579999566078186,0.20297223329544067,0.2796531319618225,0.16175411641597748,0.15026989579200745,0.20137296617031097,0.12938323616981506
52,8.55839934607684,7.75400804013681,50,built_up,,"https://www.google.com/maps/@7.75400804013681,8.55839934607684,17z/data=!3m1!1e3",0.12280000001192093,0.18479999899864197,0.27810001373291016,0.2833000123500824,0.37119999527931213,0.4612500071525574,0.41804999113082886,0.10955578088760376,0.10507931560277939,0.23518909513950348,0.2035561203956604,0.1433851569890976,0.1301097869873047
53,8.618227143999178,7.769099736910022,50,built_up,,"https://www.google.com/maps/@7.769099736910022,8.618227143999178,17z/data=!3m1!1e3",0.07684999704360962,0.11620000004768372,0.14740000665187836,0.1898999959230423,0.26965001225471497,0.3393000066280365,0.27904999256134033,0.19571293890476227,0.30080902576446533,0.2849002778530121,0.5237159132957458,0.2931303083896637,0.3280029892921448
54,8.569807950185151,7.72813655995418,50,built_up,,"https://www.google.com/maps/@7.72813655995418,8.569807950185151,17z/data=!3m1!1e3",0.05209999904036522,0.08720000088214874,0.10170000046491623,0.1469999998807907,0.2777999937534332,0.31529998779296875,0.22990000247955322,0.2977169156074524,0.48814722895622253,0.5329229831695557,0.5581277012825012,0.4640316069126129,0.26041078567504883
55,8.592984484515426,7.919208220886404,50,built_up,,"https://www.google.com/maps/@7.919208220886404,8.592984484515426,17z/data=!3m1!1e3",0.09200000017881393,0.13819999992847443,0.16359999775886536,0.19349999725818634,0.2563999891281128,0.3531000018119812,0.30160000920295715,0.16622309386730194,0.2607819437980652,0.29859861731529236,0.2561233639717102,0.2209523618221283,0.13237552344799042
56,8.57007744477039,7.780957498660399,50,built_up,,"https://www.google.com/maps/@7.780957498660399,8.57007744477039,17z/data=!3m1!1e3",0.060600001364946365,0.10100000351667404,0.11659999936819077,0.14640000462532043,0.2635999917984009,0.2619999945163727,0.20749999582767487,0.2708933651447296,0.2611449658870697,0.4841713309288025,0.4841713309288025,0.3866386115550995,0.2230263650417328
57,8.55597389480971,7.751672420398108,50,built_up,,"https://www.google.com/maps/@7.751672420398108,8.55597389480971,17z/data=!3m1!1e3",0.062950000166893,0.10830000042915344,0.16429999470710754,0.2061000019311905,0.29440000653266907,0.3560500144958496,0.2922999858856201,0.26399675011634827,0.3862786293029785,0.623596727848053,0.6400758028030396,0.2836276590824127,0.3760790526866913
58,8.566574015162303,7.754097871665223,50,built_up,,"https://www.google.com/maps/@7.754097871665223,8.566574015162303,17z/data=!3m1!1e3",0.056299999356269836,0.09075000137090683,0.11209999769926071,0.17075000703334808,0.17440000176429749,0.30640000104904175,0.2591499984264374,0.18344438076019287,0.3220480680465698,0.2838844060897827,0.28295987844467163,0.2174520194530487,0.13860368728637695
59,8.568101151145328,7.758948774199467,50,built_up,,"https://www.google.com/maps/@7.758948774199467,8.568101151145328,17z/data=!3m1!1e3",0.07895000278949738,0.125,0.1764499992132187,0.22255000472068787,0.2924500107765198,0.3452000021934509,0.2842000126838684,0.14877432584762573,0.23758594691753387,0.3459240794181824,0.35950276255607605,0.24738752841949463,0.21072843670845032
60,8.735906446218848,7.764248834375778,60,bare_land,,"https://www.google.com/maps/@7.764248834375778,8.735906446218848,17z/data=!3m1!1e3",0.14659999310970306,0.2361000031232834,0.33219999074935913,0.3804500102996826,0.4196000099182129,0.6080999970436096,0.5614500045776367,0.04844026267528534,0.06673672795295715,0.01125400047749281,-0.2332657426595688,0.11625435203313828,0.34952008724212646
61,8.572862222151144,7.739904490176144,60,bare_land,,"https://www.google.com/maps/@7.739904490176144,8.572862222151144,17z/data=!3m1!1e3",0.07479999959468842,0.14219999313354492,0.1379999965429306,0.13809999823570251,0.07419999688863754,0.06379999965429306,0.05660000070929527,0.06966855376958847,0.04391371086239815,-0.09727225452661514,-0.1495399922132492,-0.30065977573394775,0.3703283369541168
62,8.809478467988242,7.790299977615248,60,bare_land,,"https://www.google.com/maps/@7.790299977615248,8.809478467988242,17z/data=!3m1!1e3",0.06424999982118607,0.11569999903440475,0.10660000145435333,0.10625000298023224,0.04100000113248825,0.04360000044107437,0.03584999963641167,-0.39694100618362427,-0.19383935630321503,-0.01886792853474617,-0.21014489233493805,-0.4444444477558136,0.42557650804519653
63,8.73482846787789,7.764608160489431,60,bare_land,,"https://www.google.com/maps/@7.764608160489431,8.73482846787789,17z/data=!3m1!1e3",0.08910000324249268,0.15610000491142273,0.2110999971628189,0.31485000252723694,0.4405499994754791,0.5265499949455261,0.4643999934196472,0.1958763152360916,0.20029693841934204,0.2455480843782425,0.022691283375024796,0.3521061837673187,0.32941490411758423
64,8.635205302869053,7.747450338562743,60,bare_land,,"https://www.google.com/maps/@7.747450338562743,8.635205302869053,17z/data=!3m1!1e3",0.08540000021457672,0.15139999985694885,0.22699999809265137,0.260699987411499,0.3089999854564667,0.47200000286102295,0.44839999079704285,-0.21909208595752716,0.012464042752981186,0.012464042752981186,-0.2835625410079956,0.15298505127429962,0.43654757738113403
65,8.764113546140209,7.760655573239305,60,bare_land,,"https://www.google.com/maps/@7.760655573239305,8.764113546140209,17z/data=!3m1!1e3",0.13860000669956207,0.210099995136261,0.2847000062465668,0.3154500126838684,0.3435499966144562,0.5109999775886536,0.47404998540878296,0.062474269419908524,0.06657510250806808,0.05209964141249657,-0.04261988773941994,0.09367288649082184,0.13629277050495148
66,8.563879069309962,7.796857679189316,60,bare_land,,"https://www.google.com/maps/@7.796857679189316,8.563879069309962,17z/data=!3m1!1e3",0.08309999853372574,0.1281999945640564,0.18619999289512634,0.21729999780654907,0.24424999952316284,0.38135001063346863,0.3265500068664551,0.09149627387523651,0.0783410295844078,0.20974402129650116,,0.1348588913679123,0.13140299916267395
67,8.68739742087638,7.741341794630728,60,bare_land,,"https://www.google.com/maps/@7.741341794630728,8.68739742087638,17z/data=!3m1!1e3",0.10530000180006027,0.16689999401569366,0.21660000085830688,0.2050500065088272,0.258899986743927,0.2859500050544739,0.25154998898506165,-0.32878127694129944,-0.295207679271698,-0.11147189140319824,-0.06776989996433258,0.08895896375179291,0.41774022579193115
68,8.741026843338318,7.995385356979739,60,bare_land,,"https://www.google.com/maps/@7.995385356979739,8.741026843338318,17z/data=!3m1!1e3",0.05530000105500221,0.09529999643564224,0.16689999401569366,0.1977500021457672,0.27799999713897705,0.3503499925136566,0.2737500071525574,0.123000867664814,0.2903895974159241,0.38253578543663025,0.3286965489387512,0.2497190535068512,0.25953492522239685
69,8.561543449571246,7.770447209836206,60,bare_land,,"https://www.google.com/maps/@7.770447209836206,8.561543449571246,17z/data=!3m1!1e3",0.11659999936819077,0.18539999425411224,0.3018999993801117,0.35929998755455017,0.37975001335144043,0.5392500162124634,0.5311999917030334,0.09726807475090027,0.06972939521074295,0.10081367939710617,0.11558353155851364,0.11420819163322449,0.04585413634777069
70,8.775701813305346,7.759487763369947,60,bare_land,,"https://www.google.com/maps/@7.759487763369947,8.775701813305346,17z/data=!3m1!1e3",0.0551999993622303,0.09224999696016312,0.08760000020265579,0.08089999854564667,0.046300001442432404,0.06984999775886536,0.053199999034404755,-0.2949516475200653,-0.2271880805492401,-0.20972923934459686,-0.31092438101768494,-0.30843910574913025,0.10119514167308807
